business_name,street_address,st_num,st_name,city,zip_code,area_code,exchange_code,line_number
Pizza Hut,1876 E Avenue J,1876,E Avenue J,Lancaster,93535,310,838,9600
Domino's Pizza,18870 Amar Rd,18870,Amar Rd,Walnut,91789,818,246,3850
Pollo Campero,1890 W Slauson Ave,1890,W Slauson Ave,Los Angeles,90047,323,290,1130
Wienerschnitzel,18900 Soledad Canyon Rd,18900,Soledad Canyon Rd,Santa Clarita,91350,213,500,3545
Wienerschnitzel,18900 Soledad Canyon Rd,18900,Soledad Canyon Rd,Canyon Country,91351,562,371,4797
Jack in the Box,18950 Colima Rd,18950,Colima Rd,Rowland Heights,91748,818,764,0359
Jack in the Box,18955 Soledad Canyon Rd,18955,Soledad Canyon Rd,Canyon Country,91351,310,538,1459
Domino's Pizza,18957 Ventura Blvd,18957,Ventura Blvd,Tarzana,91356,818,247,9500
Wendy's,190 W Foothill Blvd,190,W Foothill Blvd,Monrovia,91016,626,357,7971
Subway,1900 N Highland Blvd,1900,N Highland Blvd,Los Angeles,90068,909,576,1149
Campus Kitchen,1900 Pico Blvd,1900,Pico Blvd,Santa Monica,90405,310,450,4244
Carl's Jr,1900 S San Gabriel Blvd,1900,S San Gabriel Blvd,San Gabriel,91776,626,963,4010
Yoshinoya Beef Bowl,1900 S San Pedro St,1900,S San Pedro St,Los Angeles,90011,818,891,3494
Jack in the Box,1900 W 6th St,1900,W 6th St,Los Angeles,90057,818,365,5477
Subway,19030 Puente Rd,19030,Puente Rd,West Covina,91792,323,563,6600
Jack in the Box,1906 Crenshaw Blvd,1906,Crenshaw Blvd,Los Angeles,90016,213,975,9455
El Merendero,1910 Fairplex Dr,1910,Fairplex Dr,La Verne,91750,909,593,7078
Burger King,1919 Pico Blvd,1919,Pico Blvd,Santa Monica,90405,323,564,8594
Kentucky Fried Chicken,19256 Ventura Blvd,19256,Ventura Blvd,Tarzana,91356,626,966,2239
Kentucky Fried Chicken,1927 N Durfee Ave,1927,N Durfee Ave,El Monte,91733,323,779,2712
Carl's Jr,19305 Victory Blvd,19305,Victory Blvd,Reseda,91335,626,965,4455
Kentucky Fried Chicken,19307 Soledad Canyon Rd,19307,Soledad Canyon Rd,Canyon Country,91351,626,282,3177
Wendy's,19309 Sherman Way,19309,Sherman Way,Reseda,91335,323,663,7387
Jack in the Box,19322 Roscoe Blvd,19322,Roscoe Blvd,Northridge,91324,626,444,3629
Jack in the Box,1933 Durfee Ave,1933,Durfee Ave,El Monte,91733,323,242,9499
El Pollo Loco,1934 W Olympic Blvd,1934,W Olympic Blvd,Los Angeles,90006,562,695,4822
Domino's Pizza,1937 Tyler Ave,1937,Tyler Ave,South El Monte,91733,626,369,5080
Carl's Jr,19400 Ventura Blvd,19400,Ventura Blvd,Tarzana,91356,909,861,7136
Pizza Hut,19417 3/4 Victory Blvd,19417,03/04/22 Victory Blvd,Reseda,91335,323,566,6600
Locol,1950 E 103rd St,1950,E 103rd St,Los Angeles,90002,323,806,1918
Louisiana Famous Fried Chicken,1950 Rosecrans Ave,1950,Rosecrans Ave,Compton,90220,310,638,2288
Pizza Hut,19731-A Saticoy St,19731,Saticoy St,Reseda,91335,310,370,3531
Carl's Jr,19782 E Walnut Dr,19782,E Walnut Dr,City of Industry,91789,818,996,1868
Subway,198 S Vermont Ave,198,S Vermont Ave,Los Angeles,90004,310,639,2585
Garden Cafe,1990 S Bundy Dr,1990,S Bundy Dr,Los Angeles,90025,310,442,3040
Subway,200 Towne Center Dr,200,Towne Center Dr,Compton,90220,310,375,3885
El Pollo Loco,2000 E Cesar Chavez Ave,2000,E Cesar Chavez Ave,Los Angeles,90033,626,441,5055
Wing Stop,2000 Long Beach Blvd,2000,Long Beach Blvd,Long Beach,90806,562,218,9464
Subway,2000 Marengo St,2000,Marengo St,Los Angeles,90033,310,619,4547
Popeyes Chicken,2000 Morengo St,2000,Morengo St,Los Angeles,90033,323,223,8529
Kentucky Fried Chicken,2000 Pacific Coast Hwy,2000,Pacific Coast Hwy,Torrance,90505,562,599,6218
La Pizza Loca,2001 South St,2001,South St,Long Beach,90805,909,469,1200
Jack in the Box,20037 Ventura Blvd,20037,Ventura Blvd,Woodland Hills,91364,323,223,6094
Subway,20044 Ventura Blvd,20044,Ventura Blvd,Woodland Hills,91364,323,256,4002
Burger King,20056 Sherman Way,20056,Sherman Way,Canoga Park,91306,818,505,1817
Burger King,2008 Glenoaks Blvd,2008,Glenoaks Blvd,San Fernando,91340,818,703,0767
Tom's Burger,201 W Anaheim St,201,W Anaheim St,Wilmington,90744,310,830,8841
Kentucky Fried Chicken,20101 Sherman Way,20101,Sherman Way,Canoga Park,91306,562,496,1321
Carl's Jr,20105 Saticoy St,20105,Saticoy St,Canoga Park,91306,818,848,6166
Del Taco,20135 Hawthorne Blvd,20135,Hawthorne Blvd,Torrance,90503,661,947,2889
Domino's Pizza,2015 N Hollywood Way,2015,N Hollywood Way,Burbank,91505,562,427,6612
Subway,2015 W Avenue J,2015,W Avenue J,Lancaster,93536,213,316,0741
Goody's Pizza & Chicken,20161 Pioneer Blvd,20161,Pioneer Blvd,Lakewood,90715,562,924,0588
Domino's Pizza,2025 E Florence Ave,2025,E Florence Ave,Los Angeles,90001,323,753,6888
Jack in the Box,2025 Lincoln Blvd,2025,Lincoln Blvd,Santa Monica,90405,562,591,3868
Burger King,2025 W 3rd St,2025,W 3rd St,Los Angeles,90057,818,765,4486
Rio Meat Market & Restaurant,2029 N Fair Oaks Ave,2029,N Fair Oaks Ave,Pasadena,91103,626,460,8754
Pizza Hut,2029 Pico Blvd,2029,Pico Blvd,Santa Monica,90405,310,549,5000
Pizza Hut,203 S Rosemead Blvd,203,S Rosemead Blvd,Pasadena,91107,310,577,9697
Carl's Jr,2030 Montrose Ave,2030,Montrose Ave,Montrose,91020,562,789,8045
Jack in the Box,2030 W Ave K,2030,W Ave K,Lancaster,93534,818,892,7059
Jack in the Box,2030 W Avenue K,2030,W Avenue K,Lancaster,93536,626,569,0663
Pizza Hut,20305 Anza Ave,20305,Anza Ave,Torrance,90503,310,521,0500
Pizza Hut,20377 S Avalon Blvd,20377,S Avalon Blvd,Carson,90745,818,559,6500
Jack in the Box,20423 Avalon Blvd,20423,Avalon Blvd,Carson,90746,323,254,9300
Kentucky Fried Chicken,2050 N Fair Oaks Ave,2050,N Fair Oaks Ave,Pasadena,91103,323,931,4861
Chavez Polo & Burger,2057 E Cesar Chavez Ave,2057,E Cesar Chavez Ave,Los Angeles,90033,323,268,0043
Domino's Pizza,2057 N Los Robles Ave,2057,N Los Robles Ave,Pasadena,91104,562,492,1323
Waba Grill,2063 Rancho Valley Dr,2063,Rancho Valley Dr,Pomona,91766,562,218,1500
Pieology,20700 S Avalon Blvd,20700,S Avalon Blvd,Carson,90746,310,361,6608
Pizza Hut,2071 W Ave K,2071,W Ave K,Lancaster,93536,323,587,2454
Burger King,20838 Devonshire St,20838,Devonshire St,Chatsworth,91311,818,247,6965
Jack in the Box,20840 Roscoe Blvd,20840,Roscoe Blvd,Canoga Park,91306,310,715,6494
Kentucky Fried Chicken,209 E Pacific Coast Hwy,209,E Pacific Coast Hwy,Long Beach,90806,323,567,6674
Carl's Jr,20900 Roscoe Blvd,20900,Roscoe Blvd,Canoga Park,91304,323,264,1122
Pizza Hut,20901 Lassen St,20901,Lassen St,Chatsworth,91311,626,458,1313
Jack in the Box,20965 Golden Springs Dr,20965,Golden Springs Dr,Diamond Bar,91789,562,949,5097
Carl's Jr,210 N Hacienda Blvd,210,N Hacienda Blvd,City of Industry,91745,626,350,1642
Domino's Pizza,21001 Sherman Way,21001,Sherman Way,Canoga Park,91306,818,897,0355
Jack in the Box,2101 E Anaheim St,2101,E Anaheim St,Long Beach,90804,626,285,7984
Jack in the Box,2101 N Palos Verdes Dr,2101,N Palos Verdes Dr,Lomita,90717,562,225,2164
Yoshinoya Beef Bowl,2102 S Garey Ave,2102,S Garey Ave,Pomona,91766,323,565,3506
Domino's Pizza,21028 Hawthorne Blvd,21028,Hawthorne Blvd,Torrance,90503,310,316,8199
Subway,2112 Beverly Blvd,2112,Beverly Blvd,Los Angeles,90057,323,583,5300
Subway,2112 W 7th St,2112,W 7th St,Los Angeles,90057,323,780,7255
Pollo Campero,2116 W 7th St,2116,W 7th St,Los Angeles,90057,323,465,6827
Jack in the Box,2120 W Pico Blvd,2120,W Pico Blvd,Los Angeles,90006,323,751,5083
